Year,Site,Treatment,Block,Plot,Species,Rel.cover,Accepted.Latin.Name.or.category,functional_group,Total.cover,Abs.cover
2019,06MAT,F5,3,5,And pol,0.7,Andromeda polifolia,evergreen,70,49
2019,06MAT,F5,3,6,And pol,1.4,Andromeda polifolia,evergreen,70.5,98.69999999999999
2008,06MAT,CT,1,3,Arc alp,3.5,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,CT,1,4,Arc alp,4.1,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F2,1,1,Arc alp,10.3,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F2,1,2,Arc alp,0.9,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F5,1,1,Arc alp,8.9,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F5,1,2,Arc alp,1,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F10,1,1,Arc alp,6,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F10,1,2,Arc alp,2,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,CT,2,3,Arc alp,3.7,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,CT,2,4,Arc alp,14.5,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F2,3,2,Arc alp,10.9,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F2,3,3,Arc alp,5.9,Arctostaphylos alpina,evergreen,NA,NA
2008,06MAT,F2,3,4,Arc alp,1,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,1,1,Arc alp,2.7,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,1,2,Arc alp,4.9,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,1,3,Arc alp,1.7,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,1,1,Arc alp,7.7,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F10,1,8,Arc alp,0.5,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,2,1,Arc alp,0.9,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,2,2,Arc alp,2.4,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,2,3,Arc alp,9,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,CT,2,6,Arc alp,3.2,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,2,Arc alp,2.4,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,3,Arc alp,15.1,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,4,Arc alp,9,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,5,Arc alp,3.9,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,6,Arc alp,13.8,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,7,Arc alp,7,Arctostaphylos alpina,evergreen,NA,NA
2010,06MAT,F5,2,8,Arc alp,6.1,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,1,1,Arc alp,1.4,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,1,2,Arc alp,2.7,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,1,3,Arc alp,1.4,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,F5,1,1,Arc alp,4.4,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,2,2,Arc alp,3,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,2,3,Arc alp,8.4,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,CT,2,6,Arc alp,1.6,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,F5,2,7,Arc alp,15.6,Arctostaphylos alpina,evergreen,NA,NA
2011,06MAT,F5,2,8,Arc alp,5,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,1,1,Arc alp,3.7,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,1,2,Arc alp,7.2,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,1,3,Arc alp,0.9,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,1,Arc alp,0.8,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,2,Arc alp,5.3,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,3,Arc alp,3.2,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,5,Arc alp,7.7,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,6,Arc alp,2.6,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,7,Arc alp,6.1,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,1,8,Arc alp,1.7,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,1,1,Arc alp,6.9,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,2,2,Arc alp,6.9,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,2,3,Arc alp,17.3,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,CT,2,6,Arc alp,3.5,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,2,5,Arc alp,0.7,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,2,6,Arc alp,3.6,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,2,7,Arc alp,1.2,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F2,2,8,Arc alp,2.5,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,3,Arc alp,13.3,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,4,Arc alp,13.7,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,5,Arc alp,2.8,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,6,Arc alp,6.6,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,7,Arc alp,8.3,Arctostaphylos alpina,evergreen,NA,NA
2012,06MAT,F5,2,8,Arc alp,4.3,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,1,1,Arc alp,0.8,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,1,2,Arc alp,2.9,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,1,3,Arc alp,1.4,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,1,Arc alp,5,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,2,Arc alp,14.3,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,3,Arc alp,2.7,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,5,Arc alp,8.5,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,6,Arc alp,3.1,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,7,Arc alp,15.2,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,1,8,Arc alp,5.9,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,1,1,Arc alp,72.1,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,1,2,Arc alp,24,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,2,2,Arc alp,4,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,2,3,Arc alp,15.4,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,CT,2,6,Arc alp,3.9,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,2,5,Arc alp,0.5,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,2,6,Arc alp,8.1,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,2,7,Arc alp,2.6,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F2,2,8,Arc alp,3.5,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,3,Arc alp,12.1,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,4,Arc alp,15.7,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,5,Arc alp,5.1,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,6,Arc alp,6.5,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,7,Arc alp,6.3,Arctostaphylos alpina,evergreen,NA,NA
2013,06MAT,F5,2,8,Arc alp,2.9,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,1,1,Arc alp,2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,1,2,Arc alp,4.7,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,1,3,Arc alp,2.9,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,1,5,Arc alp,6.5,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,1,Arc alp,7.3,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,2,Arc alp,10.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,3,Arc alp,1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,5,Arc alp,8.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,6,Arc alp,1.1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,1,7,Arc alp,11.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F5,1,1,Arc alp,3.9,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,2,2,Arc alp,4.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,2,3,Arc alp,19.1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,CT,2,6,Arc alp,4.1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,2,5,Arc alp,2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,2,6,Arc alp,1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,2,7,Arc alp,2.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F2,2,8,Arc alp,6,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F5,2,4,Arc alp,1,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F5,2,6,Arc alp,3.2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F5,2,7,Arc alp,2,Arctostaphylos alpina,evergreen,NA,NA
2014,06MAT,F5,2,8,Arc alp,2.1,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,CT,1,2,Arc alp,2.7,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F2,1,2,Arc alp,2.7,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F2,1,3,Arc alp,1.4,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F2,1,4,Arc alp,4.1,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,CT,2,2,Arc alp,1.4,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,CT,2,4,Arc alp,1.6,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F5,2,2,Arc alp,0.8,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F10,2,1,Arc alp,0.8,Arctostaphylos alpina,evergreen,NA,NA
2015,06MAT,F2,3,5,Arc alp,24.3,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,CT,1,4,Arc alp,7.8,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,CT,1,5,Arc alp,8,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,F2,1,8,Arc alp,5.9,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,CT,2,8,Arc alp,2.1,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,F2,2,1,Arc alp,5.5,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,F2,2,6,Arc alp,5.1,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,F5,2,3,Arc alp,1.1,Arctostaphylos alpina,evergreen,NA,NA
2016,06MAT,F5,2,8,Arc alp,2.1,Arctostaphylos alpina,evergreen,NA,NA
2017,06MAT,CT,1,1,Arc alp,6.1,Arctostaphylos alpina,evergreen,66,402.59999999999997
2017,06MAT,CT,1,2,Arc alp,3.4,Arctostaphylos alpina,evergreen,115,391
2017,06MAT,F5,1,4,Arc alp,3.2,Arctostaphylos alpina,evergreen,124,396.8
2017,06MAT,CT,2,1,Arc alp,0.5,Arctostaphylos alpina,evergreen,96,48
2017,06MAT,CT,2,2,Arc alp,5.4,Arctostaphylos alpina,evergreen,73,394.20000000000005
2017,06MAT,CT,2,3,Arc alp,12.8,Arctostaphylos alpina,evergreen,116,1484.8000000000002
2017,06MAT,CT,2,5,Arc alp,1,Arctostaphylos alpina,evergreen,97,97
2017,06MAT,CT,2,6,Arc alp,1.3,Arctostaphylos alpina,evergreen,78,101.4
2017,06MAT,F2,3,3,Arc alp,31.1,Arctostaphylos alpina,evergreen,80,2488
2018,06MAT,CT,1,1,Arc alp,3.1,Arctostaphylos alpina,evergreen,130,403
2018,06MAT,F2,1,5,Arc alp,9.8,Arctostaphylos alpina,evergreen,123,1205.4
2018,06MAT,F2,1,6,Arc alp,6.7,Arctostaphylos alpina,evergreen,134,897.8000000000001
2018,06MAT,F2,1,7,Arc alp,2.6,Arctostaphylos alpina,evergreen,117,304.2
2018,06MAT,F2,1,8,Arc alp,2,Arctostaphylos alpina,evergreen,100,200
2018,06MAT,F5,1,4,Arc alp,2,Arctostaphylos alpina,evergreen,99,198
2018,06MAT,F5,1,6,Arc alp,0.9,Arctostaphylos alpina,evergreen,108,97.2
2018,06MAT,CT,2,1,Arc alp,0.8,Arctostaphylos alpina,evergreen,129,103.2
2018,06MAT,CT,2,2,Arc alp,6.7,Arctostaphylos alpina,evergreen,120,804
2018,06MAT,CT,2,3,Arc alp,9.7,Arctostaphylos alpina,evergreen,155,1503.5
2018,06MAT,CT,2,6,Arc alp,3.6,Arctostaphylos alpina,evergreen,110,396
2018,06MAT,F2,3,3,Arc alp,13.5,Arctostaphylos alpina,evergreen,126,1701
2018,06MAT,F2,3,4,Arc alp,2.9,Arctostaphylos alpina,evergreen,104,301.59999999999997
2019,06MAT,F2,1,5,Arc alp,5.8,Arctostaphylos alpina,evergreen,51.5,298.7
2019,06MAT,F2,1,6,Arc alp,1.8,Arctostaphylos alpina,evergreen,54.5,98.10000000000001
2019,06MAT,F5,1,4,Arc alp,2.1,Arctostaphylos alpina,evergreen,48.5,101.85000000000001
2019,06MAT,F5,1,5,Arc alp,0.7,Arctostaphylos alpina,evergreen,71,49.699999999999996
2019,06MAT,CT,2,2,Arc alp,0.7,Arctostaphylos alpina,evergreen,74,51.8
2019,06MAT,CT,2,3,Arc alp,19.7,Arctostaphylos alpina,evergreen,91.5,1802.55
2019,06MAT,CT,2,6,Arc alp,3.1,Arctostaphylos alpina,evergreen,96,297.6
2019,06MAT,F2,3,1,Arc alp,0.7,Arctostaphylos alpina,evergreen,74.5,52.15
2019,06MAT,F2,3,2,Arc alp,1,Arctostaphylos alpina,evergreen,96,96
2019,06MAT,F2,3,3,Arc alp,13.3,Arctostaphylos alpina,evergreen,97.5,1296.75
2020,06MAT,CT,1,1,Arc alp,2.4,Arctostaphylos alpina,evergreen,82,196.79999999999998
2020,06MAT,CT,1,2,Arc alp,3.9,Arctostaphylos alpina,evergreen,77,300.3
2020,06MAT,F2,1,5,Arc alp,7.5,Arctostaphylos alpina,evergreen,67,502.5
2020,06MAT,CT,2,2,Arc alp,6.7,Arctostaphylos alpina,evergreen,74.5,499.15000000000003
2020,06MAT,CT,2,3,Arc alp,16.8,Arctostaphylos alpina,evergreen,77.5,1302
2020,06MAT,F2,3,3,Arc alp,16.4,Arctostaphylos alpina,evergreen,85.5,1402.1999999999998
2020,06MAT,F2,3,4,Arc alp,1.1,Arctostaphylos alpina,evergreen,90,99.00000000000001
2008,06MAT,F2,1,1,Arc lat,5.2,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F2,1,2,Arc lat,10.6,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,1,1,Arc lat,7,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,1,2,Arc lat,2.9,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,1,4,Arc lat,2,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F5,2,1,Arc lat,2.1,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F5,2,2,Arc lat,1.3,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F5,2,4,Arc lat,1,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,2,1,Arc lat,16.1,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,2,3,Arc lat,1.7,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,2,4,Arc lat,19.8,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,CT,3,2,Arc lat,0.5,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F2,3,1,Arc lat,0.9,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F2,3,2,Arc lat,0.9,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F2,3,3,Arc lat,1,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F2,3,4,Arc lat,1,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F5,3,2,Arc lat,1.9,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F5,3,4,Arc lat,1.8,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,3,1,Arc lat,3.8,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,3,2,Arc lat,2,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,3,3,Arc lat,1.9,Arctagrostis latifolia,graminoid,NA,NA
2008,06MAT,F10,3,4,Arc lat,1,Arctagrostis latifolia,graminoid,NA,NA
2010,06MAT,F5,3,7,Arc lat,0.4,Arctagrostis latifolia,graminoid,NA,NA
2012,06MAT,F5,1,5,Arc lat,0.9,Arctagrostis latifolia,graminoid,NA,NA
2010,06MAT,CT,3,5,Arnica sp.,0.5,Arnica species,forb,NA,NA
2010,06MAT,CT,3,8,Arnica sp.,0.5,Arnica species,forb,NA,NA
2010,06MAT,F10,3,3,Arnica sp.,0.5,Arnica species,forb,NA,NA
2008,06MAT,CT,1,1,bare,3.8,Bare soil,ground,NA,NA
2008,06MAT,CT,1,2,bare,2.9,Bare soil,ground,NA,NA
2008,06MAT,F2,1,1,bare,2.6,Bare soil,ground,NA,NA
2008,06MAT,F2,1,2,bare,3.5,Bare soil,ground,NA,NA
2008,06MAT,F2,1,3,bare,1.8,Bare soil,ground,NA,NA
2008,06MAT,F2,1,4,bare,7.1,Bare soil,ground,NA,NA
2008,06MAT,F5,1,2,bare,4.9,Bare soil,ground,NA,NA
2008,06MAT,F5,1,3,bare,3.2,Bare soil,ground,NA,NA
2008,06MAT,F5,1,4,bare,1.1,Bare soil,ground,NA,NA
2008,06MAT,F10,1,1,bare,3,Bare soil,ground,NA,NA
2008,06MAT,F10,1,2,bare,3.9,Bare soil,ground,NA,NA
2008,06MAT,F10,1,3,bare,3.9,Bare soil,ground,NA,NA
2008,06MAT,F10,1,4,bare,2.9,Bare soil,ground,NA,NA
2008,06MAT,CT,2,1,bare,2.9,Bare soil,ground,NA,NA
2008,06MAT,F5,2,1,bare,5.1,Bare soil,ground,NA,NA
2008,06MAT,F5,2,3,bare,1.2,Bare soil,ground,NA,NA
2008,06MAT,F5,2,4,bare,1,Bare soil,ground,NA,NA
2008,06MAT,F10,2,1,bare,1.1,Bare soil,ground,NA,NA
2008,06MAT,F10,2,3,bare,0.9,Bare soil,ground,NA,NA
2008,06MAT,CT,3,1,bare,10.4,Bare soil,ground,NA,NA
2008,06MAT,CT,3,2,bare,16.1,Bare soil,ground,NA,NA
2008,06MAT,CT,3,3,bare,3.7,Bare soil,ground,NA,NA
2008,06MAT,CT,3,4,bare,8.8,Bare soil,ground,NA,NA
2008,06MAT,F2,3,2,bare,2.7,Bare soil,ground,NA,NA
2008,06MAT,F2,3,3,bare,3.9,Bare soil,ground,NA,NA
2008,06MAT,F2,3,4,bare,1.9,Bare soil,ground,NA,NA
2008,06MAT,F5,3,1,bare,4,Bare soil,ground,NA,NA
2008,06MAT,F5,3,2,bare,1,Bare soil,ground,NA,NA
2008,06MAT,F5,3,3,bare,10,Bare soil,ground,NA,NA
2008,06MAT,F5,3,4,bare,2.8,Bare soil,ground,NA,NA
2008,06MAT,F10,3,1,bare,2.9,Bare soil,ground,NA,NA
2008,06MAT,F10,3,3,bare,0.9,Bare soil,ground,NA,NA
2008,06MAT,F10,3,4,bare,1.9,Bare soil,ground,NA,NA
2010,06MAT,CT,1,4,bare,0.9,Bare soil,ground,NA,NA
2010,06MAT,CT,1,5,bare,0.8,Bare soil,ground,NA,NA
2010,06MAT,F5,1,4,bare,1.1,Bare soil,ground,NA,NA
2010,06MAT,F5,1,6,bare,3.7,Bare soil,ground,NA,NA
2010,06MAT,F5,1,7,bare,2.1,Bare soil,ground,NA,NA
2010,06MAT,F5,1,8,bare,3.7,Bare soil,ground,NA,NA
2010,06MAT,F10,1,2,bare,3.8,Bare soil,ground,NA,NA
2010,06MAT,CT,2,1,bare,0.5,Bare soil,ground,NA,NA
2010,06MAT,CT,2,7,bare,1.9,Bare soil,ground,NA,NA
2010,06MAT,F5,2,1,bare,1.2,Bare soil,ground,NA,NA
2010,06MAT,F5,2,5,bare,1.3,Bare soil,ground,NA,NA
2010,06MAT,F5,2,6,bare,1.1,Bare soil,ground,NA,NA
2010,06MAT,F5,2,7,bare,1.4,Bare soil,ground,NA,NA
2010,06MAT,F5,2,8,bare,1,Bare soil,ground,NA,NA
2010,06MAT,F10,2,1,bare,0.8,Bare soil,ground,NA,NA
2010,06MAT,F10,2,3,bare,1,Bare soil,ground,NA,NA
2010,06MAT,CT,3,4,bare,1.1,Bare soil,ground,NA,NA
2010,06MAT,F5,3,3,bare,0.5,Bare soil,ground,NA,NA
2010,06MAT,F5,3,5,bare,0.6,Bare soil,ground,NA,NA
2010,06MAT,F10,3,5,bare,1.8,Bare soil,ground,NA,NA
2011,06MAT,F5,1,5,bare,5.3,Bare soil,ground,NA,NA
2011,06MAT,F5,1,6,bare,1.8,Bare soil,ground,NA,NA
2011,06MAT,F5,1,7,bare,5.9,Bare soil,ground,NA,NA
2011,06MAT,F5,1,8,bare,7.8,Bare soil,ground,NA,NA
2011,06MAT,F10,1,2,bare,7.1,Bare soil,ground,NA,NA
2011,06MAT,F10,1,5,bare,3.1,Bare soil,ground,NA,NA
2011,06MAT,CT,2,2,bare,8.9,Bare soil,ground,NA,NA
2011,06MAT,CT,2,3,bare,11.2,Bare soil,ground,NA,NA
2011,06MAT,CT,2,4,bare,3.4,Bare soil,ground,NA,NA
2011,06MAT,CT,2,5,bare,1.5,Bare soil,ground,NA,NA
2011,06MAT,CT,2,6,bare,1.6,Bare soil,ground,NA,NA
2011,06MAT,CT,2,7,bare,2.8,Bare soil,ground,NA,NA
2011,06MAT,F5,2,3,bare,8.3,Bare soil,ground,NA,NA
2011,06MAT,F5,2,5,bare,2.7,Bare soil,ground,NA,NA
2011,06MAT,CT,3,2,bare,13,Bare soil,ground,NA,NA
